web-scraper-order,web-scraper-start-url,Detail,Detail-href,Name,Image-src,Category,Ig_Follow,eng_rate,est_Reel_play,Avg_like,Avg_Comments,yt_subs,views(30 days),total_views,uplaods,yt_links,yt_links-href,insta_link,insta_link-href
"1708342225-14","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/defencestudycapsule/IA_101731?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","𝐷𝑒𝑓𝑒𝑛𝑐𝑒 𝑠𝑡𝑢𝑑𝑦 𝑐𝑎𝑝𝑠𝑢𝑙𝑒","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/40808349786.jpg","Defence","3,697","13.97%","11,049","513","5","25,600","21,282","1,571,205","160","","https://www.youtube.com/channel/UCsVbGpAudSn3Lfl0L1GXaCw","","https://www.instagram.com/defencestudycapsule"
"1708342230-15","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/ohi_fauji_13/IA_99325?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Ohi_Fauji_13","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/42081839072.jpg","Defence","3,746","2.90%","715","107","1","","","","","","","","https://www.instagram.com/ohi_fauji_13"
"1708342234-16","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/battleaxes_raavan/IA_103824?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","№15 | RAAVAN","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/26413289607.jpg","Defence","3,981","17.49%","5,975","688","8","","","","","","","","https://www.instagram.com/battleaxes_raavan"
"1708342240-17","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/icommando2025/IA_105489?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Gladiator Commando","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1971054714.jpg","Defence","4,063","1.01%","2,364","32","8","","","","","","","","https://www.instagram.com/icommando2025"
"1708342246-18","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/bhartijosharmy/IA_101412?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","🥇Bharti Josh Army🥇","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/44922014259.jpg","Defence","4,087","0.09%","35","3","NaN","","","","","","","","https://www.instagram.com/bhartijosharmy"
"1708342254-19","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/faujimaharashtracha/IA_97930?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Fauji Maharashtracha","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/47352468403.jpg","Defence","4,155","1.31%","812","54","0","200,000","154,954","8,857,117","666","","https://www.youtube.com/channel/UCgDzyTgv7DZNRAl_DXPKpmA","","https://www.instagram.com/faujimaharashtracha"
"1708342263-20","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/basedindianedits/IA_102266?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","PISTAUL SINGH","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/46055669942.jpg","Defence","4,232","52.90%","14,810","2,228","10","","","","","","","","https://www.instagram.com/basedindianedits"
"1708342271-21","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/abhi_official27/IA_98930?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Abhishek Jha","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/2347223551.jpg","Defence","4,294","9.00%","14,084","382","4","","","","","","","","https://www.instagram.com/abhi_official27"
"1708342279-22","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/shaurya_bharat/IA_99852?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Shaurya Bharat","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/10674886310.jpg","Defence","4,295","1.47%","1,598","62","0","","","","","","","","https://www.instagram.com/shaurya_bharat"
"1708342287-23","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/defence_x/IA_103161?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","𝙙𝙚𝙛𝙚𝙣𝙘𝙚𝙓™ | YouTube","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/9726626703.jpg","Defence","4,367","4.46%","1,907","194","0","","","","","","","","https://www.instagram.com/defence_x"
"1708342294-24","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/_devil__fouji_/IA_99286?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","🅹🅰🆃 🥷☠️","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/52877893093.jpg","Defence","4,372","0.83%","165","36","0","","","","","","","","https://www.instagram.com/_devil__fouji_"
